"PC","variance_explained"
"PC1",0.303683729119096
"PC2",0.0811285588696434
"PC3",0.0709611116018771
"PC4",0.0346522701593656
"PC5",0.0283777651832848
"PC6",0.025951782310938
"PC7",0.0232374742916054
"PC8",0.0208466395584802
"PC9",0.0183332599401022
"PC10",0.0176420379807142
"PC11",0.016623633789385
"PC12",0.0152386621532531
"PC13",0.0146922780406483
"PC14",0.0127588833544479
"PC15",0.012207373195816
"PC16",0.0111417220574743
"PC17",0.0104422796566334
"PC18",0.00991157082950537
"PC19",0.00937307658835418
"PC20",0.00914354321258688
"PC21",0.00879777415604972
"PC22",0.00843339256058135
"PC23",0.007487026904585
"PC24",0.00737219401497108
"PC25",0.00707049923790242
"PC26",0.00672360002945176
"PC27",0.00631276676064017
"PC28",0.00612227989188188
"PC29",0.00608576665255664
"PC30",0.00554186637852842
